
---- PROCESS STARTING ON: Mon, 11 Mar 2013 13:05:11 +0000 ----
[2013-03-11 14:05:12,739][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'red'\np3\nsS'surface'\np4\nF297.5\nsS'height'\np5\nI20\nsS'width'\np6\nI20\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI79\nsS'x'\nI56\ns."
[2013-03-11 14:05:12,739][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'red'\np3\nsS'surface'\np4\nF4\nsS'height'\np5\nI2\nsS'width'\np6\nI5\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI48\ns."
[2013-03-11 14:05:12,740][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI79\nsS'x'\nI56\nsS'height'\np5\nI20\nsS'surface'\np6\nF297.5\nsS'width'\np7\nI20\nsa(dp8\nS'y'\nI1\nsS'x'\nI48\nsg5\nI2\nsg6\nF4\nsg7\nI5\nsasS'command'\np9\nS'observation'\np10\nsS'name'\np11\nS'combined_red'\np12\ns."
[2013-03-11 14:05:12,740][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF15\nsS'height'\np5\nI2\nsS'width'\np6\nI16\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI134\ns."
[2013-03-11 14:05:12,740][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF5\nsS'height'\np5\nI2\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI18\ns."
[2013-03-11 14:05:12,740][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI1\nsS'x'\nI134\nsS'height'\np5\nI2\nsS'surface'\np6\nF15\nsS'width'\np7\nI16\nsa(dp8\nS'y'\nI1\nsS'x'\nI18\nsg5\nI2\nsg6\nF5\nsg7\nI6\nsasS'command'\np9\nS'observation'\np10\nsS'name'\np11\nS'combined_yellow'\np12\ns."
[2013-03-11 14:05:12,765][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'red'\np3\nsS'surface'\np4\nF297.5\nsS'height'\np5\nI20\nsS'width'\np6\nI20\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI79\nsS'x'\nI56\ns."
[2013-03-11 14:05:12,765][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'red'\np3\nsS'surface'\np4\nF4\nsS'height'\np5\nI2\nsS'width'\np6\nI5\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI48\ns."
[2013-03-11 14:05:12,766][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI79\nsS'x'\nI56\nsS'height'\np5\nI20\nsS'surface'\np6\nF297.5\nsS'width'\np7\nI20\nsa(dp8\nS'y'\nI1\nsS'x'\nI48\nsg5\nI2\nsg6\nF4\nsg7\nI5\nsasS'command'\np9\nS'observation'\np10\nsS'name'\np11\nS'combined_red'\np12\ns."
[2013-03-11 14:05:12,766][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF15\nsS'height'\np5\nI2\nsS'width'\np6\nI16\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI134\ns."
[2013-03-11 14:05:12,766][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF5\nsS'height'\np5\nI2\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI18\ns."
[2013-03-11 14:05:12,766][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI1\nsS'x'\nI134\nsS'height'\np5\nI2\nsS'surface'\np6\nF15\nsS'width'\np7\nI16\nsa(dp8\nS'y'\nI1\nsS'x'\nI18\nsg5\nI2\nsg6\nF5\nsg7\nI6\nsasS'command'\np9\nS'observation'\np10\nsS'name'\np11\nS'combined_yellow'\np12\ns."
[2013-03-11 14:05:13,009][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'red'\np3\nsS'surface'\np4\nF280\nsS'height'\np5\nI19\nsS'width'\np6\nI20\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI78\nsS'x'\nI66\ns."
[2013-03-11 14:05:13,009][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI78\nsS'x'\nI66\nsS'height'\np5\nI19\nsS'surface'\np6\nF280\nsS'width'\np7\nI20\nsasS'command'\np8\nS'observation'\np9\nsS'name'\np10\nS'combined_red'\np11\ns."
[2013-03-11 14:05:13,009][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF2\nsS'height'\np5\nI2\nsS'width'\np6\nI3\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI156\ns."
[2013-03-11 14:05:13,010][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF16\nsS'height'\np5\nI3\nsS'width'\np6\nI9\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI140\ns."
[2013-03-11 14:05:13,010][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF34\nsS'height'\np5\nI3\nsS'width'\np6\nI18\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI10\ns."
[2013-03-11 14:05:13,010][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI1\nsS'x'\nI10\nsS'height'\np5\nI3\nsS'surface'\np6\nF34\nsS'width'\np7\nI18\nsa(dp8\nS'y'\nI1\nsS'x'\nI140\nsg5\nI3\nsg6\nF16\nsg7\nI9\nsa(dp9\nS'y'\nI1\nsS'x'\nI156\nsg5\nI2\nsg6\nF2\nsg7\nI3\nsasS'command'\np10\nS'observation'\np11\nsS'name'\np12\nS'combined_yellow'\np13\ns."
[2013-03-11 14:05:13,045][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'red'\np3\nsS'surface'\np4\nF280\nsS'height'\np5\nI19\nsS'width'\np6\nI20\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI78\nsS'x'\nI66\ns."
[2013-03-11 14:05:13,045][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI78\nsS'x'\nI66\nsS'height'\np5\nI19\nsS'surface'\np6\nF280\nsS'width'\np7\nI20\nsasS'command'\np8\nS'observation'\np9\nsS'name'\np10\nS'combined_red'\np11\ns."
[2013-03-11 14:05:13,045][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF2\nsS'height'\np5\nI2\nsS'width'\np6\nI3\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI156\ns."
[2013-03-11 14:05:13,045][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF16\nsS'height'\np5\nI3\nsS'width'\np6\nI9\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI140\ns."
[2013-03-11 14:05:13,045][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF34\nsS'height'\np5\nI3\nsS'width'\np6\nI18\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI10\ns."
